PDO IOC — Consolidated Alarm Solution (CAS)  |  Clarification & Requirements Register,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
5.7,Multi-Vendor OPC Connectivity & Data Handling,Future ABB and GE OPC A&E/DA connectivity is listed as upcoming. Confirm whether these must be included now (and priced) or are optional future phases.,Determines whether ABB/GE connectors are in the current commercial scope.,Both,Medium,
5.8,Multi-Vendor OPC Connectivity & Data Handling,"Confirm whether OPC DA is genuinely required, or whether OPC A&E alone meets the alarm/event scope (spec row 39 prefers no OPC-DA exposure).",Avoids unnecessary DA polling load if A&E covers the requirement.,Both,Medium,
6. Sizing & Performance,,,,,,
6.1,Sizing & Performance,Peak alarm flood rate: expected worst-case alarms/second per site and aggregate at the IOC.,"Drives edge buffer, broker throughput and database write sizing for the worst case.",Both,Critical,
6.2,Sizing & Performance,Steady-state and average event rates per site and aggregate.,Baseline capacity and storage growth planning.,Both,High,
6.3,Sizing & Performance,Concurrent users: number of simultaneous operator / engineer / viewer sessions at peak.,Sizes the web/UI tier and concurrent-session licensing.,PDO,High,
6.4,Sizing & Performance,"Historical retention: required online retention period for alarms/events, plus archive and purge policy.",Sizes the historical store and defines archival design.,PDO,High,
6.5,Sizing & Performance,"Confirm the near-real-time update target — the spec states 5-10 s, while other sections imply <= 5 s — and the acceptable end-to-end latency from DCS event to banner.",Resolves a conflicting requirement and sets the performance SLA the design must meet.,Both,High,
6.6,Sizing & Performance,Total tag/condition count per OPC server and aggregate across all sites.if available,"Capacity planning for subscriptions, buffers and the alarm database.",Both,Medium,
7. Standalone Operator Stations & UI,,,,,,
7.1,Standalone Operator Stations & UI,"With AVEVA integration potentially descoped, will PDO / Yokogawa supply the dedicated hardware and monitors for the standalone operator stations, or must client hardware be included in our offer?",Decides whether client hardware is a cost line in the commercial offer.,Both,High,
7.2,Standalone Operator Stations & UI,Exactly how many standalone operator stations are required across the Central Control Room and the IOC?,"Sizes client deployment, licensing and commissioning effort.",PDO,High,
7.3,Standalone Operator Stations & UI,"Preferred client deployment: a centralized web-based UI via standard browsers (Edge/Chrome), or a thick-client install? (We recommend web based.)",Sets the UI delivery model; Web based reduces per-station maintenance and avoids ActiveX/DCOM concerns.,Both,High,
7.4,Standalone Operator Stations & UI,"If AVEVA remains in scope: must the banner be embedded as an ActiveX / HTML5 control inside the existing Wonderware HMI, or run as a standalone window?",Embedding constraints (especially ActiveX) significantly affect UI architecture.,Both,Medium,
7.5,Standalone Operator Stations & UI,"Is Single Sign-On (e.g. Active Directory / LDAP) required for operator authentication, and which identity provider must we integrate with?",Defines authentication integration and the RBAC/role-based filter presets (spec row 28).,PDO,Medium,
8. Integration (PI / SQL / Third-Party),,,,,,
8.1,Integration (PI / SQL / Third-Party),"Confirm the required integrations and direction for PI and/or SQL (read alarm data out only, or also write into CAS).",Defines the integration interfaces and data-flow direction with the historian/database layer.,Both,Medium,
8.2,Integration (PI / SQL / Third-Party),"Baseera, Nibras and other PDO third-party software — confirm the interface method (PI, SQL, REST API) and which systems are in scope.",Defines outbound integration adapters required for PDO's wider toolset.,PDO,Medium,
8.3,Integration (PI / SQL / Third-Party),"Is an open API required to expose commands/control to and from the IOC platform (spec row 30), and over which protocol (REST / OPC UA)?",Determines whether a published API layer is in scope and its protocol.,Both,Medium,
8.4,Integration (PI / SQL / Third-Party),Confirm the CCTV / RDP integration referenced under 'open architecture' (spec row 33) — is this within CAS scope or handled display-side only?,Clarifies whether multimedia/RDP panes are a CAS deliverable.,PDO,Low,
"9. Redundancy, Availability & Backfill",,,,,,
9.1,"Redundancy, Availability & Backfill","Required availability / RPO / RTO for the central alarm database and broker (HA cluster, N+1, geo-redundancy)?",Sets the redundancy design and infrastructure count.,PDO,High,
9.2,"Redundancy, Availability & Backfill",Confirm the store-and-forward buffer depth required at the edge — the maximum outage duration to survive with zero data loss — so local disk can be sized.,Directly sizes edge buffer storage for the mandated store-and-forward capability.,Both,High,
9.3,"Redundancy, Availability & Backfill","On reconnection, must backfilled events be merged into history in correct SOE order using original timestamps? Confirm acceptable backfill behaviour.",Defines backfill correctness rules and history reconciliation logic.,Both,Medium,
9.4,"Redundancy, Availability & Backfill","Is broker redundancy / clustering required, and is a DMZ-resident broker bridge to the IOC acceptable?",Confirms broker HA topology and placement relative to the DMZ.,Both,Medium,
10. Licensing & Commercial,,,,,,
10.1,Licensing & Commercial,Must licensing cover the future ABB / GE connectors and additional sites beyond the initial 74?,Determines whether future expansion is pre-licensed or chargeable later.,Both,Medium,
10.2,Licensing & Commercial,"Confirm currency, payment milestones, and the warranty / support period expected for the commercial offer.",Required to structure the commercial proposal.,PDO,Medium,
"11. Resources, Support & Project Execution",,,,,,
11.1,"Resources, Support & Project Execution","Are locally certified resources required in the Sultanate of Oman for support and future expansion (spec row 64), and is In-Country Value (ICV) a scoring criterion?","Affects resourcing model, partnerships and bid scoring.",PDO,Medium,
11.2,"Resources, Support & Project Execution","Confirm the required implementation timeline and any mandated milestones, including FAT/SAT requirements (spec row 65).",Sets the project schedule and acceptance gates.,Both,High,
